#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-02-12;45222;1118;5150;2.47;11.39;86.14
2020-02-11;44803;1113;4683;2.48;10.45;87.06
2020-02-10;42763;1013;3946;2.37;9.23;88.40
2020-02-09;40151;906;3244;2.26;8.08;89.66
2020-02-08;37121;806;2616;2.17;7.05;90.78
2020-02-07;34392;719;2011;2.09;5.85;92.06
2020-02-06;30818;634;1487;2.06;4.83;93.12
2020-02-05;27636;564;1124;2.04;4.07;93.89
2020-02-04;23892;492;852;2.06;3.57;94.37
2020-02-03;19881;426;623;2.14;3.13;94.72
2020-02-02;16787;362;472;2.16;2.81;95.03
2020-02-01;12038;259;284;2.15;2.36;95.49
2020-01-31;9925;213;222;2.15;2.24;95.62
2020-01-30;8235;171;143;2.08;1.74;96.19
2020-01-29;6165;133;126;2.16;2.04;95.80
2020-01-28;5578;131;107;2.35;1.92;95.73
2020-01-27;2927;82;61;2.80;2.08;95.11
2020-01-26;2118;56;52;2.64;2.46;94.90
2020-01-25;1438;42;39;2.92;2.71;94.37
2020-01-24;941;26;36;2.76;3.83;93.41
2020-01-23;653;18;30;2.76;4.59;92.65
2020-01-22;555;17;28;3.06;5.05;91.89
